count	msgid	msgstr	modules
2	You can only delete a sewing supply that is in the draft state.	Bạn chỉ có thể xóa phiếu Cấp chuyền May ở trạng thái nháp.	g10_shirt_production g10_veston_production
2	You can only delete pressing production final lines in draft state!	Chỉ được phép xóa chi tiết phiếu Nhập hoàn thiện Là ở trạng thái Nháp!	g10_production g10_veston_production
2	You can only edit records in Draft status!	Chỉ có thể sửa phiếu ở trạng thái Nháp!	g10_one_off_production g10_veston_production
2	You can only mark the inspection as 'Done' when it is in 'In Progress' state.	Bạn chỉ có thể đánh dấu phiếu kiểm là 'Hoàn thành' khi phiếu đang ở trạng thái 'Đang thực hiện'.	g10_one_off_production g10_production
2	You can only reject inspections in 'Waiting Approval' state.	Bạn chỉ có thể từ chối phiếu kiểm ở trạng thái 'Chờ duyệt'.	g10_one_off_production g10_production
2	You can't create cutting table allocation without marker frames!	Không thể tạo phiếu hạch toán bàn cắt khi chưa có khung giác sơ đồ!Bạn không thể tạo hạch toán trải bàn cắt mà không có khung giác sơ đồ!	g10_hybrid_production g10_veston_production
2	You cannot change the status manually!	Không thể thay đổi trạng thái thủ công!	g10_one_off_production g10_veston_production
2	Your timestamp is invalid: %s	Mốc thời gian của bạn không hợp lệ: %s	g10_one_off_production g10_production
2	Zero Qty	Trống số lượng	g10_hybrid_production g10_veston_production
1	 in Production Orders %s	 trong lệnh SX %s	g10_veston_production
1	"%s: 
+ Color '%s'."	"%s: 
+ Màu '%s'."	g10_shirt_production
1	%s: Missing required values: %s.	%s: Thiếu dữ liệu bắt buộc: %s.	g10_one_off_production
1	%s: Operation Code is required.	%s: Mã công đoạn là bắt buộc.	g10_one_off_production
1	%s: Product %s does not exist in one-off products.	%s: Sản phẩm %s không tồn tại trong danh mục sản phẩm đơn chiếc.	g10_one_off_production
1	%s: Unsupported gender value %s.	%s: Giá trị giới tính không được hỗ trợ %s.	g10_one_off_production
1	'%s' was existed. QR Code must be unique!	'%s' đã tồn tại. Mã QR phải là duy nhất!	g10_stock
1	+ If selected, the suppliable quantity is the total passed quantity of sewing production quality.+ If not selected, the suppliable quantity is the total imported quantity of pressing supply return.	+ Nếu chọn, số lượng có thể cấp Là = tổng số lượng kiểm đạt KCS May theo lệnh SX.+ Nếu không chọn, số lượng có thể cấp Là = tổng số lượng đã Nhập của phiếu cấp trả Là theo lệnh SX.	g10_shirt_production
1	"+ Inspection Done: The bundle is done after the related Cutting Inspection was completed.
+ Quality Confirmed: The bundle is quality confirmed after the related Cutting Inspection was completed.
+ Supplied: The bundle is supplied after the related sewing supply documents are confirmed."	"+ Đã kiểm hóa: Bó vải hoàn thành sau khi phiếu kiểm hóa cắt liên quan được hoàn tất.
+ Đã xác nhận KCS: Bó vải đã đạt kiểm tra chất lượng KCS cắt.
+ Đã cấp: Bó vải đã cấp sau khi các phiếu cấp chuyền may được xác nhận."	g10_hybrid_production
1	"+ Inspection Done: The bundle is done after the related Cutting Inspection was completed.
+ Supplied: The bundle is supplied after the related sewing supply documents are confirmed."	"+ Đã kiểm hóa: Bọn được xác nhận sau khi phiếu Kiểm hóa cắt  được hoàn thành.
+ Đã cấp chuyền may: Bọn được xác nhận cấp chuyền may sau khi phiếu Cấp chuyền may được xác nhận."	g10_veston_production
1	"+ Returned: The bundle is returned after confirm the sewing supply return.
+ Inspection Done: The bundle is done after the Detail Adhesion Cutting Inspection completed.
+ Inspection Return Done: The bundle is done after Two return inspections completed.
+ Confirm: The bundle is confirmed after the related cutting production quality confirmed.
+ Supplied: The bundle is supplied after the related sewing supply documents are confirmed."	"+ Đã kiểm hóa: Bọn được xác nhận sau khi phiếu Kiểm hóa cắt chi tiết ép dựng được hoàn thành.
+ Xác nhận: Bọn được xác nhận sau khi các phiếu Ghi nhận chất lượng công đoạn Cắt KCS được xác nhận.
+ Đã cấp chuyền may: Bọn được xác nhận cấp chuyền may sau khi phiếu Cấp chuyền may được xác nhận."	g10_shirt_production
1	"+ Sewing: Indicates whether any sewing supply veston of this cluster will generate sewing inspections veston.
+ Pressing: Indicates whether any pressing supply veston of this cluster will generate pressing inspections veston."	Chỉ định phiếu cấp May Veston cho Cụm SX này có sinh ra phiếu kiểm hóa May hay không.	g10_master
1	"<span class=""fw_bold"">Total:  </span>"	"<span class=""fw_bold"">Tổng:  </span>"	g10_veston_production
1	"<span class=""o_stat_text"">
                                    Reference Documents
                                </span>"	"<span class=""o_stat_text"">
                                    Tài liệu sở cứ
                                </span>"	g10_production
1	"<span class=""o_stat_text"">Stage Productions</span>"	Phiếu trải vải	g10_shirt_production
1	"<span invisible=""missing_qty != 0"">Do you want to update this inspection document to 'Done' state?</span>"	"<span invisible=""missing_qty != 0"">Bạn có chắc chắn muốn chuyển trạng thái của phiếu kiểm hóa sang 'Hoàn thành'?</span>"	g10_production
1	<span>Sync Data</span>	<span>Đồng bộ</span>	g10_miti_synchronization
1	A body-change record already exists for this combination of production, table, component category and fabric!	Đã tồn tại phiếu thay thân cho tổ hợp lệnh sản xuất, bàn cắt, phân loại thành phần và loại vải này!	g10_veston_production
1	A pressing inspection Veston for the same production order and production cluster already exists!	Một phiếu kiểm hóa Là Veston cho lệnh SX và cumj SX này đã tồn tại!	g10_veston_production
1	A production type with the same code and name already exists.	Đã tồn tại một loại hình sản xuất có cùng mã và tên.	g10_production
1	API Token	API Token	g10_mattermost_integration
1	AQL Rule Lines	Chi tiết quy tắc AQL	g10_production
1	AQL Rules	Quy tắc AQL	g10_production
1	AQL name must be unique!	Tên AQL phải là duy nhất!	g10_production
1	Acceptable Defect Quantity	Số lỗi chấp nhận	g10_production
1	Access Groups	Nhóm truy cập	g10_access_management
1	Access Token	Access Token	g10_mattermost_integration
1	Accumulate Pressing Inspection Pass Qty	Lũy kế đạt theo lệnh SX	g10_shirt_production
1	Accumulate Pressing Supply Qty	Số lượng lũy kế cấp Là	g10_shirt_production
1	Accumulate Pressing Supply for Returned Qty	Số lượng lũy kế cấp Là	g10_shirt_production
1	Accumulate Sewing Inspection Pass Qty	Lũy kế Đạt theo Lệnh SX	g10_shirt_production
1	Accumulate Sewing Inspection Return Pass Qty	Tổng số lượng kiểm trả đạt May	g10_shirt_production
1	Accumulate Sewing Productivity Qty	Lũy kế sản lượng May	g10_shirt_production
1	Accumulate Size Qty	Lũy kế cỡ	g10_shirt_production
1	Accumulate exported sewing supply qty	SL lũy kế Xuất May	g10_shirt_production
1	Accumulate imported sewing supply qty	SL lũy kế Nhập May	g10_shirt_production
1	Accumulate qty of production line in lines cannot exceed the total qty of original production line!	Số lượng tích lũy theo dòng lệnh SX không được vượt quá tổng số lượng trên dòng lệnh SX gốc!	g10_shirt_production
1	Accumulated	Lũy kế	g10_veston_production
1	Accumulated Imported Lines	Dòng nhập lũy kế	g10_one_off_production
1	Accumulated Imported Quantity	Lũy kế nhập	g10_veston_production
1	Accumulated Lines	Lũy kế	g10_veston_production
1	Accumulated Pressing Production Final Qty	Lũy kế nhập hoàn thiện Là	g10_production
1	Accumulated Pressing Production Final Veston Qty	Số lượng lũy kế nhập chuyền Là Veston	g10_veston_production
1	Accumulated Supply Qty	Lũy kế cấp	g10_veston_production
1	Accumulated Supply Qty by PO	Lũy kế cấp theo Lệnh SX	g10_shirt_production
1	Acknowledge	Ghi nhận	g10_shirt_production
1	Acknowledge by	Người ghi nhận	g10_shirt_production
1	Acknowledge date	Ngày ghi nhận	g10_shirt_production
1	Action Error Detail	Báo cáo chi tiết lỗi	g10_report
1	Action In Out Goods Record	Sổ theo dõi giao nhận hàng	g10_report
1	Action Ironing Productivity Record	Sổ theo dõi năng suất tổ Là	g10_report
1	Action Productivity	Phiếu báo năng suất CN-BP	g10_report
1	Action Sewing Productivity	Báo cáo Sổ năng suất tổ may	g10_report
1	Actual Size	Khổ thực tế	g10_stock
1	Actual Width	Khổ thực tế	g10_stock
1	Actual Width Unit of Measure	Đơn vị Khổ thực tế	g10_stock
1	Actual Worker Qty	SL nhân công thực tế	g10_shirt_production
1	Actual production Qty	SL sản xuất thực tế	g10_shirt_production
1	Actual production Qty must be less than or equal to Supply Qty!	SL sản xuất thực tế không được vượt quá SL cấp chuyền!	g10_shirt_production
1	Aisle	Dãy	g10_stock
1	Aisles	Dãy	g10_stock
1	All Product Categories	Danh mục sản phẩm	g10_master
1	All bundles in the return lines must belong to the same production order.	Tất cả các Bọn trong các chi tiết phiếu phải thuộc về cùng một Lệnh SX.	g10_shirt_production
1	All bundles must be in 'Supplied' state to imported the return.	Các Bọn phải ở trạng thái 'Đã cấp' trước khi nhập trả.	g10_shirt_production
1	All categories of selected bundle details must match the supply category!	Nhóm Áo/Quần  trong thông tin Chi tiết và trong phiếu cấp May phải giống nhau!	g10_veston_production
1	All details must be in 'Pass' state to mark this inspection as done.	Tất cả chi tiết phải ở trạng thái 'Đạt' để đánh dấu phiếu kiểm này là hoàn thành.	g10_one_off_production
1	All lines must be pass to set the stage recheck to done state.	Tất cả các dòng phải ở trạng thái Đạt mới có thể chuyển trạng thái phiếu Recheck sang Hoàn thành.	g10_production
1	All numbers must be in 'Pass' state to mark this inspection as done.	Tất cả các STT phải được đánh 'Đạt' trước khi chuyển phiếu kiểm hóa sang Hoàn thành.	g10_veston_production
1	All production lines must belong to the sewing stage category.	Tất cả chuyền sản xuất phải thuộc nhóm công đoạn may.	g10_one_off_production
1	All production orders in the lines must correspond to the same pre-order specified in the header.	Tất cả Lệnh SX trong dòng chi tiết phải thuộc về Đơn đặt hàng tương ứng của phiếu kiểm final.	g10_production
1	All selected details must belong to the chosen operation line!	Tất cả chi tiết được chọn phải thuộc mã công đoạn đã chọn!	g10_one_off_production
1	All selected details must still be in draft state.	Tất cả chi tiết được chọn vẫn phải ở trạng thái nháp.	g10_one_off_production
1	All selected details must still be in pressing inspected state.	Tất cả chi tiết được chọn vẫn phải ở trạng thái đã kiểm là.	g10_one_off_production
1	All selected details must still be in sewing inspected state.	Tất cả chi tiết được chọn vẫn phải ở trạng thái đã kiểm may.	g10_one_off_production
1	All veston cutting table allocations that require inspection for the same production order must have the same allocation by sub-PO value.	Tất cả các phiếu HTBC cho lệnh SX này phải có cùng giá trị Hạch toán theo sub PO.	g10_veston_production
1	Allocation Qty	Số lượng hạch toán	g10_shirt_production
1	Allocation Veston Frame Lines	Chi tiết theo KGSĐ	g10_veston_production
1	Allocations	Hạch toán bàn cắt	g10_veston_production
1	Allowed Production Types	Loại hình SX	g10_production
1	An inspection type with the same code already exists.	Đã tồn tại một loại hình sản xuất có cùng mã và tên.	g10_production
1	Apply to all Styles	Áp dụng cho tất cả Styles	g10_master
1	Archived	Đã lưu trữ	g10_master
1	Are you sure delete all package?	Bạn có chắc chắn muốn xóa tất cả các kiện hàng không?	g10_stock
1	Are you sure you want to cancel this split? The package will be deleted and its quantity returned to the parent.	Bạn có chắc chắn muốn hủy bỏ việc chia tách này không? Kiện hàng sẽ bị xóa và số lượng của nó sẽ được trả lại cho kiện hàng chính.	g10_stock
1	Are you sure you want to confirm this body-change record?	Bạn có chắc chắn muốn xác nhận phiếu thay thân này không?	g10_veston_production
1	Are you sure you want to confirm this fabric spreading?	Bạn có chắc chắn muốn xác nhận phiếu trải vải này?	g10_one_off_production
1	Arrival Date	Ngày về hàng	g10_stock
1	Attachment	Tệp đính kèm	g10_production
1	Attachment file	Đính kèm	g10_shirt_production
1	Attachment file name	Tên đính kèm	g10_shirt_production
1	Auth Type	Kiểu xác thực	g10_mattermost_integration
1	Available Bundle Number	STT có sẵn	g10_veston_production
1	Available Color	Màu khả dụng	g10_shirt_production
1	Available Detail	Chi tiết khả dụng	g10_one_off_production
1	Available Details	Chi tiết khả dụng	g10_one_off_production
1	Available Product	Sản phẩm hợp lệ	g10_veston_production
1	Available Production	Lệnh SX hợp lệ	g10_veston_production
1	Available Production Line Detail	Chi tiết lệnh sản xuất khả dụng	g10_one_off_production
1	Available Quantity	Số lượng còn lại	g10_hybrid_production
1	Available bundle numbers	STT có sẵn	g10_veston_production
1	Back Image Sample	Ảnh mẫu - Mặt sau	g10_master
1	Barcode Scanned	Quét mã	g10_stock
1	Basically, A production order can have only one pressing inspection.	Về cơ bản, một lệnh SX chỉ có duy nhất một phiếu Hạch toán Là.	g10_shirt_production
1	Bill NUmber	Số hóa đơn	g10_stock
1	Body Change	Phiếu thay thân	g10_veston_production
1	Body Change Veston	Ghi nhận thay thân đổi màu Veston	g10_veston_production
1	Body Change Veston Num	Số phiếu thay thân Veston	g10_veston_production
1	Breakdown qty	Số phối kiện	g10_veston_production
1	"Bundle ""%s"" has already passed in a confirmed inspection. Each bundle can only pass once."	"Bọn ""%s"" đã đạt trong phiếu kiểm tra đã xác nhận. Mỗi bọn chỉ được đạt một lần."	g10_veston_production
1	Bundle End Qty	Bọn KT	g10_shirt_production
1	Bundle Head Qty	Bọn đầu	g10_shirt_production
1	Bundle Number Ids Domain	Miền STT bọn	g10_veston_production
1	Bundle Qty	Số sản phẩm	g10_shirt_production
1	Bundle To Supply	Bọn để cấp chuyền	g10_shirt_production
1	Bundle Veston	Bọn vải	g10_veston_production
1	Bundle details are required for all selected bundles!	Trường Chi tiết Áo/Quần là bắt buộc nhập cho các Bọn đã chọn!	g10_veston_production
1	Bundle must be unique per sewing supply!	Bọn phải là duy nhất trong mỗi phiếu cấp May!	g10_veston_production
1	Bundle name must be unique per production order!	Số Bọn phải là duy nhất trong một lệnh Sản xuất!	g10_shirt_production
1	Bundle name with each allocation type must be unique per production order!	Số Bọn phải là duy nhất trong một lệnh Sản xuất!	g10_veston_production
1	Bundle names on this line are not numeric; cannot renumber them.	Số bọn trên dòng này không phải dạng số; không thể đánh số lại.	g10_shirt_production
1	Bundle numbers	STT	g10_veston_production
1	Bundle quantity cannot be changed after confirmation (%(line)s bundles expected, %(actual)s exist).	Số lượng sổ không thể thay đổi sau khi xác nhận (dự kiến %(line)s sổ, thực tế %(actual)s sổ).	g10_shirt_production
1	Bundle quantity must be greater than zero!	Số lượng Bọn phải lớn hơn 0!	g10_shirt_production
1	Bundle quantity range is overlapped between each table!	Số lượng bọn bị chồng lấn giữa các bàn!	g10_shirt_production
1	Bundle start quantity must be greater than zero!	Số bọn bắt đầu phải lớn hơn 0!	g10_shirt_production
1	By Figure	Theo hệ	g10_veston_production
1	Bypass Reservation	Bỏ qua giữ trước số lượng	g10_stock
1	Bọn Vải	Số bọn	g10_shirt_production
1	Bọn Vải Veston	Số bọn	g10_veston_production
1	Calculate Length	Phiếu đo khổ vải	g10_stock
1	Can only export in Draft state!	Chỉ có thể xuất khi phiếu ở trạng thái Nháp!	g10_veston_production
1	Can only import exported records!	Chỉ có thể nhập các bản ghi ở trạng thái Đã xuất!	g10_veston_production
1	Cancel Hybrid	Hủy	g10_hybrid_production
1	Cancel Split	Huỷ tách cuộn	g10_stock
1	Cancel Split In: %s	Huỷ tách cuộn In: %s	g10_stock
1	Cancel Split Out: %s	Huỷ tách cuộn Out: %s	g10_stock
1	Cancel Wizard	Lý do từ chối	g10_production
1	Canceled	Hủy	g10_production
1	Cannot combine confirmed cutting requests. Please select only draft cutting requests.	Không thể gộp các phiếu trải vải đã xác nhận. Vui lòng chỉ chọn các phiếu trải vải ở trạng thái nháp.	g10_shirt_production
1	Cannot combine cutting requests with no production orders assigned.	Không thể gộp các phiếu trải vải không có lệnh sản xuất nào.	g10_shirt_production
1	Cannot complete recheck with failed recheck lines.	Không thể hoàn thành recheck khi còn dòng kiểm lỗi.	g10_one_off_production
1	Cannot connect to SQL server, please recheck the SQL server configuration: %s!	Không thể kết nối đến SQL server, hãy kiểm tra cấu hình SQL server: %s!	g10_miti_synchronization
1	Cannot create a recheck for detail %s because it was already inspected in following inspections.	Không thể tạo recheck cho chi tiết %s vì chi tiết này đã được kiểm ở các phiếu kiểm sau.	g10_one_off_production
1	Cannot create a recheck for number %s because it was already inspected in the following inspections.	Không thể tạo phiếu Recheck cho STT %s vì STT này đã được kiểm hóa ở các Cụm SX sau.	g10_veston_production
1	Cannot create a sample main fabric cutting table allocation when a non-sample main fabric allocation already exists for this production order!	Không thể tạo một phiếu HTBC veston hàng mẫu mới khi đã tồn tại một phiếu HTBC vải chính!	g10_veston_production
1	Cannot export when there are no lines!	Không thể xuất khi không có dòng chi tiết nào!	g10_veston_production
1	Cannot generate Fabric Roll name: arrival date (or invoice date) and storage location are required.	Không thể tạo tên Cuộn vải: cần có ngày nhập kho (hoặc ngày hóa đơn) và vị trí lưu kho.	g10_stock
1	Car Name/Container	Số xe/container	g10_veston_production
1	Categories	Nhóm	g10_veston_production
1	Category Name	Tên	g10_master
1	Category type	Loại nhóm	g10_master
1	Channel	Kênh	g10_mattermost_integration
1	Check All	Kiểm toàn bộ	g10_stock
1	Check Fail can only be set when not both Pressing Quality and Ironing Quality are passed!	Chỉ được đánh dấu Lỗi khi chưa tích chọn cả Chất lượng ép và Chất lượng là!	g10_veston_production
1	Check Partial	Kiểm phần trăm	g10_stock
1	Chi tiết phiếu trải vải	Chi tiết phiếu trải vải	g10_shirt_production
1	Chi tiết Lệnh SX	Chi tiết Lệnh SX	g10_shirt_production
1	Chi tiết phiếu nhập kho thành phẩm	Chi tiết nhập kho thành phẩm	g10_veston_production
1	Chi tiết trả hàng Là Veston	Chi tiết trả hàng Là	g10_veston_production
1	Chi tiết Đề nghị Cấp/Đổi/Vay NPL	Chi tiết Đề nghị Cấp/Đổi/Vay NPL	g10_shirt_production
1	Child Bundles	Bọn con	g10_shirt_production
1	Child Package Count	Cuộn vải con	g10_stock
1	Child Packages	Cuộn vải con	g10_stock
1	Child packages	Cuộn vải con	g10_stock
1	Chuyển hàng hủy	Chuyển hàng hủy	g10_shirt_production
1	Chất lượng Cắt - KCS	Ghi nhận chất lượng công đoạn cắt - KCS	g10_shirt_production
1	Chọn Sub PO từ hoạch toán bàn cắt	Chọn Sub PO từ hạch toán bàn cắt	g10_veston_production
1	Classification	Phân loại	g10_stock
1	Cluster Name	Cụm sản xuất	g10_master
1	Cluster in RPL	Cụm sản xuất	g10_report
1	Cluster name must be unique per Production Line!	Tên Cụm sản xuất phải là duy nhất trong một Chuyền/Tổ sản xuất!	g10_master
1	Clusters	Cụm sản xuất	g10_master
1	Code NPL	Mã NPL	g10_stock
1	Color Codes	Mã màu	g10_master
1	Color Separation Details	Chi tiết tách màu	g10_one_off_production
1	Color Separation Lines	Dòng tách màu	g10_one_off_production
1	Combination of production order and res production cluster must be unique!	Tổ hợp lệnh sản xuất và cụm SX phải là duy nhất!	g10_one_off_production
1	Combination of production order and res production line must be unique!	Tổ hợp Lệnh SX và Chuyền/Tổ SX phải là duy nhất!	g10_shirt_production
1	Combination of production order, res production cluster and component category must be unique!	Tổ hợp Lệnh SX, Cụm SX và Nhóm thành phần phải là duy nhất!	g10_veston_production
1	Combined Cutting Request	Gộp phiếu trải vải	g10_shirt_production
1	Combined Cutting Request - %s/%s	Gộp phiếu trải vải - %s/%s	g10_shirt_production
1	Company Supplier	Nhà cung cấp	g10_stock
1	Comple	Áo	g10_veston_production
1	Comple Gile	Áo Gile	g10_veston_production
1	Complete Name	Tên Đầy đủ	g10_master
1	Component Category Code	Mã Nhóm thành phần	g10_master
1	Component Category Code and Name must be unique!	Mã nhóm thành phần và Tên phải là duy nhất!	g10_master
1	Component Category Name	Tên Nhóm thành phần	g10_master
1	Component Category Names	Tên thành phần	g10_one_off_production
1	Component Code	Mã thành phần	g10_master
1	Component Details	Thành phần chi tiết	g10_one_off_production
1	Component Name	Tên thành phần	g10_master
1	Component quantity must be greater than 0!	Số lượng thành phần phải lớn hơn 0!	g10_one_off_production
1	Confirmation	Xác nhận	g10_production
1	Confirmed Date	Ngày xác nhận	g10_one_off_production
1	"Conflict in Sub PO selection for Group '%s':
The following Sub POs are already assigned to a different set in previous imports: [%s].
You must either:
1. Choose the exact same set of Sub POs as before.
2. Choose a completely new set of Sub POs that hasn't been used for this group."	"Xung đột lựa chọn Sub PO cho Nhóm '%s':
Các Sub PO sau đây đã được gán cho một tập hợp khác trong các lần nhập trước: [%s].
Bạn phải thực hiện một trong hai:
1. Chọn đúng tập hợp Sub PO giống như lần trước.
2. Chọn một tập hợp Sub PO hoàn toàn mới chưa được sử dụng cho nhóm này."	g10_veston_production
1	Consumed	Tiêu hao	g10_one_off_production
1	Country State	Trạng thái	g10_master
1	Create	Tạo phiếu	g10_stock
1	Create Cutting Table Allocation	Tạo phiếu Hạch toán bàn Cắt	g10_production
1	Create Date	Ngày tạo	g10_stock
1	Create Delivery Order	Tạo phiếu Xuất kho	g10_shirt_production
1	Create Delivery request	Tạo phiếu xuất kho	g10_stock
1	Create Request Delivery	Tạo phiếu yêu cầu xuất	g10_stock
1	Create Request Stock	Tạo phiếu yêu cầu xuất kho	g10_stock
1	Create a hybrid Production Cutting Request	Tạo phiếu trải vải sản xuất hỗn hợp	g10_hybrid_production
1	Create a new NPL Issue / Exchange / Borrow Request	Tạo mới Phiếu Yêu cầu xuất/đổi/mượn NPL	g10_shirt_production
1	Create a new Production Cutting Request	Tạo mới Phiếu Trải vải sản xuất	g10_shirt_production
1	Create delivery to stock request	Tạo phiếu yêu cầu	g10_stock
1	Create receipt request	Tạo phiếu nhập kho	g10_stock
1	Create your first fabric roll package.	Tạo cuộn vải đầu tiên.	g10_stock
1	Created By	Người tạo	g10_production
1	Created By Production Line	Chuyền/Tổ Tạo	g10_veston_production
1	Created Date	Ngày tạo	g10_hybrid_production
1	Creation Date	Ngày tạo	g10_veston_production
1	Cumulative Export	Xuất lũy kế	g10_one_off_production
1	Cumulative Export Quantity	Số lượng xuất lũy kế	g10_one_off_production
1	Cumulative Import	Nhập lũy kế	g10_one_off_production
1	Cumulative Import Quantity	Số lượng nhập lũy kế	g10_one_off_production
1	Customer Code	Mã Khách hàng	g10_master
1	Customer Custody	Hàng giữ hộ khách hàng	g10_stock
1	Customer Group	Nhóm Khách hàng	g10_master
1	Customer/Third party review	KH/Bên thứ 3 kiểm	g10_production
1	Customers	Khách hàng	g10_master
1	Cut Supplement	Cắt bổ sung	g10_one_off_production
1	Cut Swap Quantity	Số lượng cắt thay	g10_veston_production
1	Cut Swap Quantity cannot exceed the roll length for package %s!	Số lượng cắt thay không được vượt quá chiều dài cuộn của cuộn %s!	g10_veston_production
1	Cut Swap Quantity cannot exceed the roll length!	Số lượng cắt thay không được vượt quá chiều dài cuộn!	g10_veston_production
1	Cut Swap Quantity must be greater than 0 for package %s!	Số lượng cắt thay phải lớn hơn 0 cho cuộn %s!	g10_veston_production
1	Cut Swap Quantity must not be negative!	Số lượng cắt thay không được âm!	g10_veston_production
1	Cutting BTP Inspection Hybrid	Kiểm tra BTP cắt Hỗn hợp	g10_hybrid_production
1	Cutting BTP Inspection Veston	Kiểm tra BTP cắt Veston	g10_veston_production
1	Cutting Defect Name	Tên lỗi	g10_master
1	Cutting Defects	Lỗi bàn Cắt	g10_master
1	Cutting Inspection Defect	Chi tiết lỗi kiểm hóa Cắt	g10_shirt_production
1	Cutting Inspection Defect Return	Lỗi kiểm hóa Cắt	g10_shirt_production
1	Cutting Inspection Hybrid	Danh sách kiểm cắt	g10_hybrid_production
1	Cutting Inspection Line	Chi tiết kiểm hóa	g10_shirt_production
1	Cutting Inspection Line Return	Chi tiết kiểm trả Cắt	g10_shirt_production
1	Cutting Inspection Lines Return	Chi tiết kiểm trả Cắt	g10_shirt_production
1	Cutting Inspection Post Pressing	Kiểm ép sau Cắt	g10_veston_production
1	Cutting Inspection Post Pressing Detail	Kiểm ép sau cắt chi tiết	g10_veston_production
1	Cutting Inspection Post Pressing Detail Line	Dòng chi tiết kiểm ép sau cắt	g10_veston_production
1	Cutting Inspection Post Pressing Lines	Chi tiết kiểm ép	g10_veston_production
1	Cutting Inspection Return	Kiểm hóa Cắt	g10_shirt_production
1	Cutting Inspection Vestons	Kiếm hóa Cắt Veston	g10_veston_production
1	Cutting Inspections Hybrid	Phiếu kiểm hóa cắt hỗn hợp	g10_hybrid_production
1	Cutting Inspections Veston	Kiểm hóa Cắt	g10_veston_production
1	Cutting Production Count	Số lượng phiếu trải vải	g10_shirt_production
1	Cutting Production Hybrid Count	Số lượng phiếu trải vải	g10_hybrid_production
1	Cutting Production Quality	Ghi nhận chất lượng công đoạn cắt - KCS	g10_shirt_production
1	Cutting Productions	Danh sách phiếu trải vải	g10_shirt_production
1	Cutting Productions Hybrid	Danh sách phiếu trải vải	g10_hybrid_production
1	Cutting Productivity General	Ghi nhận sản lượng công đoạn cắt KCS	g10_shirt_production
1	Cutting Productivity General Hybrid	Ghi nhận chất lượng cắt KCS hỗn hợp	g10_hybrid_production
1	Cutting Request Combine	Gộp phiếu trải vải	g10_shirt_production
1	Cutting Request Line	Chi tiết phiếu trải vải	g10_shirt_production
1	Cutting Requests	Phiếu trải vải	g10_shirt_production
1	Cutting Requests Hybrid	Phiếu trải vải hỗn hợp	g10_hybrid_production
1	Cutting Requests Veston	Phiếu trải vải Veston	g10_veston_production
1	Cutting Requests to Combine	Yêu cầu Cắt cần gộp	g10_shirt_production
1	Cutting Return Inspection	Kiểm trả Cắt	g10_shirt_production
1	Cutting Returned	Đã trả cắt	g10_veston_production
1	Cutting Table Allocation Hybrid Num	Số HTBC	g10_hybrid_production
1	Cutting Table Allocation Num	Số HTBC	g10_shirt_production
1	Cutting Table Allocation Veston Num	Số phiếu HTBC Veston	g10_veston_production
1	Cutting Table Allocations Count	Số phiếu HTBC	g10_shirt_production
1	Cutting Table Allocations Hybrid	Hạch toán bàn cắt	g10_hybrid_production
1	Cutting Table Allocations Hybrid Count	Số phiếu HTBC	g10_hybrid_production
1	Cutting Table Allocations Veston	Hạch toán bàn cắt Veston	g10_veston_production
1	Cutting Table Allocations Veston Count	Số phiếu kiểm hóa cắt Veston	g10_veston_production
1	Cutting Table Book	Sổ ra bàn cắt	g10_report
1	Cutting defect area and Cutting Inspection area must be the same!	Khu vực lỗi bàn cắt và Khu vực kiểm hóa cắt phải giống nhau!	g10_shirt_production
1	Công đoạn trên Lệnh SX	Công đoạn SX	g10_production
1	Cấp Là	Cấp chuyền Là	g10_shirt_production
1	Cấp May	Phiếu cấp chuyền May	g10_shirt_production
1	Cấp trả Là	Cấp trả Là	g10_shirt_production
1	Date From	Từ ngày	g10_report
1	Date Imported	Ngày xác nhận	g10_hybrid_production
1	Date Invoice	Ngày hóa đơn	g10_stock
1	Date Request	Ngày yêu cầu	g10_stock
1	Date To	Tới ngày	g10_report
1	Default Filter	Bộ lọc mặc định	g10_production
1	Defect Area	Khu vực lỗi	g10_master
1	Defect Areas	Khu vực lỗi	g10_master
1	Defect Categories	Nhóm mã lỗi	g10_master
1	Defect Category	Nhóm mã lỗi	g10_master
1	Defect Category Code	Ký hiệu	g10_master
1	Defect Category Name	Nhóm mã lỗi	g10_master
1	Defect Code number	Số mã lỗi	g10_master
1	Defect Description	Mô tả lỗi	g10_master
1	Defect Details	Chi tiết lỗi	g10_veston_production
1	Defect Images	Ảnh lỗi	g10_production
1	Defect Rate (%)	Tỷ lệ lỗi/thiếu (%)	g10_stock
1	Defect Record Report	Biên bản ghi nhận lỗi	g10_stock
1	Defect must be unique per body-change record!	Lỗi phải là duy nhất trong một phiếu thay thân!	g10_veston_production
1	Defect quantity must be greater than or equal to zero!	Số lượng lỗi phải lớn hơn hoặc bằng 0!	g10_veston_production
1	Defects	Mã lỗi	g10_master
1	Delete Package	Xóa NPL đã tạo	g10_stock
1	Deleting a finished product inspection is not allowed!	Không được phép xóa phiếu kiểm kho thành phẩm!	g10_veston_production
1	Deleting fabric spreading is not allowed!	Không cho phép xóa phiếu trải vải!	g10_one_off_production
1	Deleting finished product inspection lines is not allowed!	Không được phép xóa chi tiết phiếu kiểm kho thành phẩm!	g10_veston_production
1	Deleting this record is not allowed!	Không được phép xóa phiếu này!	g10_veston_production
